j,m,xi,spin_up,spin_down,zeeman_energy_khz,rotation_energy_ghz
0,-0.5,False,0.0,1.0,10.644369629633916,0.0
0,0.5,True,1.0,0.0,-10.644369629633916,0.0
1,-1.5,False,0.0,1.0,1.2010062338388972,288.0
1,-0.5,False,0.2459664113900984,-0.9692783524188895,12.173173904354641,288.0
1,0.5,False,0.18574033998816408,-0.9825988632708066,21.226551688307318,288.0
1,-0.5,True,0.9692783524188895,0.2459664113900984,-13.09653730014966,288.0
1,0.5,True,0.9825988632708066,0.18574033998816408,-11.7831882925123,288.0
1,1.5,True,1.0,0.0,-9.721006233838896,288.0
2,-2.5,False,0.0,1.0,-8.242357161956122,864.0
2,-1.5,False,0.4322209299983459,-0.9017677459697508,5.284676713343312,864.0
2,-0.5,False,0.36824796917059477,-0.9297276123691997,14.777411978885324,864.0
2,0.5,False,0.2938715406525783,-0.9558449234025779,23.29588782899044,864.0
2,1.5,False,0.2033553389947072,-0.9791050025928515,31.300658913139216,864.0
2,-1.5,True,0.9017677459697508,0.4322209299983459,-16.574766900728367,864.0
2,-0.5,True,0.9297276123691997,0.36824796917059477,-15.700775374680342,864.0
2,0.5,True,0.9558449234025779,0.2938715406525783,-13.852524433195423,864.0
2,1.5,True,0.9791050025928515,0.2033553389947072,-11.490568725754159,864.0
2,2.5,True,1.0,0.0,-8.797642838043878,864.0
3,-3.5,False,0.0,1.0,-17.68572055775114,1728.0
3,-2.5,False,0.6162176100771933,-0.787575937310652,-0.07790796771522146,1728.0
3,-1.5,False,0.5229489628514791,-0.8523639963375754,9.466024318470026,1728.0
3,-0.5,False,0.44647256193386564,-0.8947973242249948,18.007632747683907,1728.0
3,0.5,False,0.37332660047419425,-0.9276999781062741,26.02629935230122,1728.0
3,1.5,False,0.29625542330343785,-0.9551087499145324,33.70962218951378,1728.0
3,2.5,False,0.20448344083287714,-0.9788700232539289,41.15426830690899,1728.0
3,-2.5,True,0.787575937310652,0.6162176100771933,-21.578909011259874,1728.0
3,-1.5,True,0.8523639963375754,0.5229489628514791,-20.756114505855084,1728.0
3,-0.5,True,0.8947973242249948,0.44647256193386564,-18.93099614347893,1728.0
3,0.5,True,0.9276999781062741,0.37332660047419425,-16.5829359565062,1728.0
3,1.5,True,0.9551087499145324,0.29625542330343785,-13.899532002128726,1728.0
3,2.5,True,0.9788700232539289,0.20448344083287714,-10.977451327933892,1728.0
3,3.5,True,1.0,0.0,-7.874279442248859,1728.0
4,-4.5,False,0.0,1.0,-27.129083953546157,2880.0
4,-3.5,False,0.7541901885769222,-0.6566560434918014,-3.8469494797536115,2880.0
4,-2.5,False,0.648016963671583,-0.7616259021290324,5.319472531520351,2880.0
4,-1.5,False,0.5682315561007649,-0.822868700736213,13.681755437673104,2880.0
4,-0.5,False,0.4981831092639419,-0.867071848028819,21.5904469088779,2880.0
4,0.5,False,0.43139051499236064,-0.9021652972568973,29.19753783001943,2880.0
4,1.5,False,0.3635926960069101,-0.9315580236412687,36.58535039012604,2880.0
4,2.5,False,0.2899980407592109,-0.9570272390876965,43.804429244833614,2880.0
4,3.5,False,0.20086745449019816,-0.9796184286377161,50.88845043361686,2880.0
4,-3.5,True,0.6566560434918014,0.7541901885769222,-28.176594290811522,2880.0
4,-2.5,True,0.7616259021290324,0.648016963671583,-26.976289510495445,2880.0
4,-1.5,True,0.822868700736213,0.5682315561007649,-24.971845625058158,2880.0
4,-0.5,True,0.867071848028819,0.4981831092639419,-22.513810304672923,2880.0
4,0.5,True,0.9021652972568973,0.43139051499236064,-19.754174434224414,2880.0
4,1.5,True,0.9315580236412687,0.3635926960069101,-16.77526020274098,2880.0
4,2.5,True,0.9570272390876965,0.2899980407592109,-13.627612265858513,2880.0
4,3.5,True,0.9796184286377161,0.20086745449019816,-10.34490666305173,2880.0
4,4.5,True,1.0,0.0,-6.950916046453839,2880.0
5,-5.5,False,0.0,1.0,-36.572447349341175,4320.0
5,-4.5,False,0.8375896425572278,-0.5462999090983407,-6.474817796475174,4320.0
5,-3.5,False,0.7389937352146347,-0.6737122971369324,2.139230956380459,4320.0
5,-2.5,False,0.6622031720226915,-0.7493243349598928,10.200858294416904,4320.0
5,-1.5,False,0.595567638603423,-0.8033051648336033,17.913418752220572,4320.0
5,-0.5,False,0.5339572746183814,-0.8455114599354112,25.3796103767988,4320.0
5,0.5,False,0.4743409648662996,-0.8803412117183359,32.659890899640025,4320.0
5,1.5,False,0.4143397902312802,-0.9101222655396903,39.79341558642595,4320.0
5,2.5,False,0.3513863607424097,-0.9362305407773265,46.80726483743089,4320.0
5,3.5,False,0.28155495112454915,-0.9595451055042972,53.72109183848988,4320.0
5,4.5,False,0.19571352743957343,-0.9806611112801198,60.54969558096738,4320.0
5,-4.5,True,0.5462999090983407,0.8375896425572278,-35.91545276568,4320.0
5,-3.5,True,0.6737122971369324,0.7389937352146347,-34.16277472694559,4320.0
5,-2.5,True,0.7493243349598928,0.6622031720226915,-31.857675273391997,4320.0
5,-1.5,True,0.8033051648336033,0.595567638603423,-29.203508939605626,4320.0
5,-0.5,True,0.8455114599354112,0.5339572746183814,-26.302973772593823,4320.0
5,0.5,True,0.8803412117183359,0.4743409648662996,-23.216527503845008,4320.0
5,1.5,True,0.9101222655396903,0.4143397902312802,-19.983325399040893,4320.0
5,2.5,True,0.9362305407773265,0.3513863607424097,-16.630447858455796,4320.0
5,3.5,True,0.9595451055042972,0.28155495112454915,-13.177548067924757,4320.0
5,4.5,True,0.9806611112801198,0.19571352743957343,-9.639425018812208,4320.0
5,5.5,True,1.0,0.0,-6.0275526506588175,4320.0
6,-6.5,False,0.0,1.0,-46.01581074513619,6048.0
6,-5.5,False,0.8855399927939296,-0.4645631508875055,-8.442841746140356,6048.0
6,-4.5,False,0.8014637124790854,-0.5980434077717451,-0.3514564587705351,6048.0
6,-3.5,False,0.7319692027352194,-0.6813377182038047,7.38117799621077,6048.0
6,-2.5,False,0.6705737039269778,-0.7418429130224632,14.862081219130836,6048.0
6,-1.5,False,0.6138926587760491,-0.7893895131687989,22.15373939015127,6048.0
6,-0.5,False,0.5598163833420993,-0.8286166887902825,29.296402516140233,6048.0
6,0.5,False,0.5067903034522814,-0.8620693639880405,36.3178006589397,6048.0
6,1.5,False,0.4534378556497938,-0.8912878946018042,43.23800011887591,6048.0
6,2.5,False,0.39826046328034687,-0.9172723714294045,50.07207679373297,6048.0
6,3.5,False,0.3392191580945921,-0.9407073736192335,56.8316981069263,6048.0
6,4.5,False,0.27276279397279474,-0.9620813158065978,63.52611323860582,6048.0
6,5.5,False,0.1901529723679262,-0.9817544739392038,70.1628015796838,6048.0
6,-5.5,True,0.4645631508875055,0.8855399927939296,-44.31415560760486,6048.0
6,-4.5,True,0.5980434077717451,0.8014637124790854,-42.03881410338464,6048.0
6,-3.5,True,0.6813377182038047,0.7319692027352194,-39.40472176677591,6048.0
6,-2.5,True,0.7418429130224632,0.6705737039269778,-36.51889819810593,6048.0
6,-1.5,True,0.7893895131687989,0.6138926587760491,-33.44382957753633,6048.0
6,-0.5,True,0.8286166887902825,0.5598163833420993,-30.219765911935255,6048.0
6,0.5,True,0.8620693639880405,0.5067903034522814,-26.87443726314469,6048.0
6,1.5,True,0.8912878946018042,0.4534378556497938,-23.427909931490852,6048.0
6,2.5,True,0.9172723714294045,0.39826046328034687,-19.89525981475787,6048.0
6,3.5,True,0.9407073736192335,0.3392191580945921,-16.28815433636117,6048.0
6,4.5,True,0.9620813158065978,0.27276279397279474,-12.61584267645065,6048.0
6,5.5,True,0.9817544739392038,0.1901529723679262,-8.885804225938589,6048.0
6,6.5,True,1.0,0.0,-5.104189254863805,6048.0
7,-7.5,False,0.0,1.0,-55.45917414093122,8064.0
7,-6.5,False,0.9142604306697772,-0.40512697381378276,-10.044821564587618,8064.0
7,-5.5,False,0.8440493237525492,-0.5362655490266595,-2.383620274660945,8064.0
7,-4.5,False,0.7829889363284163,-0.6220356304805178,5.044631235556885,8064.0
7,-3.5,False,0.7277139287514323,-0.6858807752817945,12.295409255870627,8064.0
7,-2.5,False,0.6761893931511215,-0.7367278361714846,19.405143426697013,8064.0
7,-1.5,False,0.6270394049893298,-0.7789875381484785,26.399280750038283,8064.0
7,-0.5,False,0.5792283078667622,-0.8151653619762111,33.29642808463863,8064.0
7,0.5,False,0.5318814711660695,-0.846818812161266,40.11067904736095,8064.0
7,1.5,False,0.4841586450257407,-0.8749802320320378,46.85301243576559,8064.0
7,2.5,False,0.43512965036465806,-0.9003678067176383,53.532178440176125,8064.0
7,3.5,False,0.38359716848818365,-0.9235005210219689,60.15528483652638,8064.0
7,4.5,False,0.32774818836601916,-0.9447651163240482,66.7281986837692,8064.0
7,5.5,False,0.26423909000367884,-0.96445720657478,73.2558298926253,8064.0
7,6.5,False,0.18463246825347687,-0.9828076371633611,79.74233653804353,8064.0
7,-6.5,True,0.40512697381378276,0.9142604306697772,-53.07890258074764,8064.0
7,-5.5,True,0.5362655490266595,0.8440493237525492,-50.373377079084264,8064.0
7,-4.5,True,0.6220356304805178,0.7829889363284163,-47.43490179771206,8064.0
7,-3.5,True,0.6858807752817945,0.7277139287514323,-44.318953026435764,8064.0
7,-2.5,True,0.7367278361714846,0.6761893931511215,-41.06196040567211,8064.0
7,-1.5,True,0.7789875381484785,0.6270394049893298,-37.68937093742334,8064.0
7,-0.5,True,0.8151653619762111,0.5792283078667622,-34.21979148043365,8064.0
7,0.5,True,0.846818812161266,0.5318814711660695,-30.66731565156593,8064.0
7,1.5,True,0.8749802320320378,0.4841586450257407,-27.042922248380535,8064.0
7,2.5,True,0.9003678067176383,0.43512965036465806,-23.355361461201028,8064.0
7,3.5,True,0.9235005210219689,0.38359716848818365,-19.61174106596125,8064.0
7,4.5,True,0.9447651163240482,0.32774818836601916,-15.81792812161402,8064.0
7,5.5,True,0.96445720657478,0.26423909000367884,-11.978832538880088,8064.0
7,6.5,True,0.9828076371633611,0.18463246825347687,-8.098612392708276,8064.0
7,7.5,True,1.0,0.0,-4.180825859068783,8064.0
8,-8.5,False,0.0,1.0,-64.90253753672623,10368.0
8,-7.5,False,0.9325777646957032,-0.36096912997535646,-11.435672431797055,10368.0
8,-6.5,False,0.8736734732429332,-0.4865127564120284,-4.114737774731495,10368.0
8,-5.5,False,0.8204819685132052,-0.5716724056176717,3.051346540812851,10368.0
8,-4.5,False,0.7712524791549227,-0.6365293499889738,10.092033763875833,10368.0
8,-3.5,False,0.7247978763364266,-0.6889615652982437,17.028477874034618,10368.0
8,-2.5,False,0.680251615967842,-0.7329786756605813,23.876479660002676,10368.0
8,-1.5,False,0.6369334733269099,-0.770918770400435,30.648210736822247,10368.0
8,-0.5,False,0.5942665191932343,-0.8042681792573653,37.353283277489716,10368.0
8,0.5,False,0.5517177611951133,-0.8340308819113665,43.999445552276114,10368.0
